Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
87,3,0,3,0,1,faggot read my tweets after dat k it was not even funny lol
88,3,0,3,0,1,this bitch was so ungrateful fr lulwhore
89,3,0,3,0,1,
90,3,3,0,0,0,alsarabsss hes a beaner smh you can tell hes a mexican
91,3,1,2,0,1,happy birthday nigs thanks yo
92,6,1,5,0,1,when you are teacher tells you that you have homework this bitch need to go
93,3,1,2,0,1,that nigga was eating that hoe lol hell yea lol john paul nigga said john paul
94,3,0,3,0,1,what would you all lil ugly bald headed bitches do if they stop making make up weave
95,3,1,2,0,1,leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig
96,3,0,3,0,1,going back to school sucks more dick than the hoes who attend it
97,3,0,3,0,1,on my way to fuck yo bitch me as a 9 year old
98,3,0,3,0,1,how come you never bring me food i do not have a car retard
99,3,0,3,0,1,if richnow does not show up with hella tinder hoes i am not his friend anymore chill i brought like like 8 prople
100,3,1,2,0,1,how bout them cowboys shutup pussy
101,3,0,3,0,1,lmaooooooooooo this nigga bitch want likes for some depressing shit foh
102,3,0,3,0,1,girl you know i was spitting that g shit to you you was going lbvs bitch plz
103,3,0,3,0,1,let me make a couple tweets off cuzzo page so i will not get in twitter jail lmao bitch do not trick me again
104,3,0,2,1,1,harlem shake is just an excuse to go full retard for 30 seconds
105,3,0,3,0,1,amen miley but she do not need to act like a hoe just because she is emotionally damaged foh
106,3,0,3,0,1,having one loyal female is wayyyyy better than having hoes idc
107,3,0,3,0,1,pussy licking pussy meow meow stopwhitepeople2014
108,3,0,3,0,1,check out our 12th man cowboysnation even with all those faggot ny fans in the stands
109,3,0,3,0,1,what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch
110,3,0,3,0,1,i am the bitch okay nudes pat wow
111,3,3,0,0,0,you are fucking gay blacklisted hoe holding out for tehgodclan anyway
112,3,0,3,0,1,the fuck be wrong with these bitches nobody knows
113,3,0,3,0,1,you all shut up p make me bitch
114,3,1,2,0,1,i hate a i am pregnant type of bitch
115,3,0,3,0,1,got bitches in the dm but i do not ever read them which is y your top 3
116,3,0,0,3,2,baseball season for the win yankees this is where the love started
117,3,0,3,0,1,little stupid as bitch i do not fuck with yoooooouuuu
118,3,0,3,0,1,she really asked me that dead ass serious though all i could say was bitch wheet lol
119,3,0,0,3,2,i am an early bird and i am a night owl so i am wise and have worms
120,3,0,1,2,2,overdosing on heavy drugs does not sound bad tonight i do that pussy shit every day
121,3,0,0,3,2,pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures
122,3,0,3,0,1,aw fag do not tweet aw to me lol
123,3,0,0,3,2,as long as the lakers trash from now on i could careless and that is real cc hahaha
124,3,0,3,0,1,i did not say anything though kiss me then faggot
125,3,0,0,3,2,this the i play soccer cheat on girls and wear khaki coloured cargos haircut yup
126,3,0,3,0,1,i could go for a fat ass bitch on my lap same
127,3,0,3,0,1,17 missed calls das yo p o bitch twitter fixing to be screamn freemoneymelle
128,6,0,6,0,1,ya side bitch got to know it is rules to this shit anybody ask you my cousin from jersey thinkin bout moving lmmfao
129,3,0,3,0,1,
130,3,0,3,0,1,these hoes be thinking meat will not slap they ass ainna bruh
131,3,0,3,0,1,you all bitches wit no edges be doing the most talking
132,3,0,3,0,1,you all still going trick or treating this year or nah hell yeah i am about to be da sweet tooth bandit steal bitches bags n shit
133,3,0,3,0,1,i want to have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck
134,6,0,6,0,1,if she kiss you with her eyes open watch that bitch lmfao
135,3,0,3,0,1,you a would have coulda shoulda ass hoe
136,3,0,3,0,1,happy birthday bitch ass nigga preciate that bitch roll up
137,3,0,3,0,1,used to send that bitch up
138,6,0,6,0,1,ugly bitches be like i am my own wcw duh bitch you are not nobody elses
139,3,1,2,0,1,nigga you know we hacky sack hoes nah i throw no look passes lmao
141,3,1,2,0,1,glad i am getting outta atlanta nothing but a bunch of niggas in outta jail dumb bitches with mad kids fuckin them
142,3,0,1,2,2,this is not ghetto it is smart i am doing this idc
143,3,0,2,1,1,i would wife a hoe only cuz we would not care that we cheating in each other why force the relationship in the first place
144,3,0,3,0,1,being single is not an excuse to be a hoe
145,3,1,2,0,1,white boy power bitch black power bitch
146,3,0,3,0,1,let us get drunk get blowed spit shit spark blunts fuck hoes bro white dudes have no chill
147,3,0,3,0,1,bitch where you been around the world and back where you been
148,3,0,3,0,1,if i do not get my dick sucked at yo party by a bad bitch i am fr gone set it off by
149,3,0,2,1,1,oomf is soooo cute but he probably has hoes on him a lot
150,3,0,3,0,1,in every cartoon theirs alway a saving these hoes lmao lmao damn captain saveahoe
151,3,0,1,2,2,who wants to get there nose in these bad bois then scally chav sockfetish stinking hot sox and legs
152,3,0,3,0,1,i wish i was a bitch like my brother keezy ooooow i bet you do
153,6,0,6,0,1,if you dressed up as a cat for halloween you are basic or a pussy
154,4,0,4,0,1,can pornhub just get a gaming stream feature so these dumb bitches can gtfo get on it katie 3
155,3,0,3,0,1,stop being scared to choke her during sex you bitch ass niggas she ll like it says the guy who hits women out of bed foh
156,3,0,3,0,1,ha well iguess i make them hoes loyal bro they will never be loyal that y they hoes my nig
157,6,0,6,0,1,oh man its 5 am you off a molly ho where the fuck ya seed at fixed
158,3,0,3,0,1,you are not a man if you refer to every girl as a bitch
159,3,0,3,0,1,lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga
160,3,0,1,2,2,peel up peel up bring it back up rewind back where i am from they move shaq from the line ooooow who tf said that trash
161,3,0,2,1,1,
162,3,0,3,0,1,naw it is my old tape new cover my upcoming mixtape is kingofthehill yeah i am waiting on that hoe mayne
163,3,0,3,0,1,old dirty foot ass bitches this was too funny to me
164,3,0,3,0,1,that is where i get my yellow flags for being amazing hell yeah niggy
165,3,0,3,0,1,do not got time for bitches to be actin iffy
166,3,0,0,3,2,ucfpinkparty come on stay alive knights nation this is still the early bird special comeatmeut
167,3,0,2,1,1,these hoes are not loyal no they are not smfh wonder why nobody decent wants them
168,3,0,3,0,1,bruh you studs keep thinking i am soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe
169,3,0,3,0,1,dry pussy bitches always blame it on the condom
170,3,0,3,0,1,shut yo bitch ass up
171,3,0,3,0,1,gucci mane in jail and dropping mixtapes every month and you hoes cannot even text back
172,3,0,3,0,1,you love these hoes more then money wats wrong these niggas
173,6,0,6,0,1,a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol
174,3,0,3,0,1,easy cum easy hoe that is a fact
175,3,0,3,0,1,charlie sheen is too real major fucking respect for charlie sheen
176,3,0,3,0,1,wish i had a bae you got all the hoes though
177,3,0,3,0,1,fuck twerking bitch can you cook
178,3,0,3,0,1,
179,3,1,2,0,1,shut up zoe fight me pussy for zoe i am good man you are good madam move along now
180,3,0,3,0,1,lmao fucking snake bitches them
181,3,0,3,0,1,big booty hoes everywhere sheesh damn
182,3,0,0,3,2,stay tuned to for an update on the report that 1b will be out 8 10 weeks bum
183,3,0,0,3,2,i play soccer cheat on girls and wear khaki coloured cargos haircut yes lmfao
184,3,0,3,0,1,oregon chokes every year get off the field trash ass program rft
185,3,0,3,0,1,def not cowboy lol terrell owens was the best eagle cowboy ever dude cried like a bitch on tv over romo
186,3,3,0,0,0,lmfaoooo i hate black people this is why there is black people and niggers
187,3,0,3,0,1,how could you do this to me bitch potent
188,3,0,1,2,2,a pissed lad past out i would lick his dirty soles while he slept
189,3,0,1,2,2,love frat boy w soft long soles
190,3,0,1,2,2,sexy lad with hot soles and arches
191,3,0,3,0,1,nah fam i got to cheat with the hoes depends on the female i feel
192,3,0,0,3,2,i got hicks lol
193,3,1,2,0,1,this new twitter is confusing the shit out of me go back to south america bitch
194,3,0,3,0,1,toto means ass or vagina i think pussy because toto santi is like nasty pussy
195,3,0,3,0,1,but what if he actually does choose the ugly bitch over you her ass must be fat
196,3,0,3,0,1,bitch could not kill my vibe if ya tried dis why i love miley
197,3,0,3,0,1,i am tired of bitches saying i look mean nigga you big af wear tight shirts and grim everybody
198,6,0,0,6,2,10 birds your grandkids may never see thanks to climate change climate
199,3,0,3,0,1,stay beautiful you bitch
200,3,0,3,0,1,wutkinda r purple ceeeleee man this gurl was jus playin on the stupid hoe track but in still shitted on sum gurls
201,3,0,3,0,1,money getting taller and bitches getting blurry
202,3,1,2,0,1,i are not never seen a bitch so obsessed with they nigga i am obsessed with mine
203,3,0,2,1,1,kobe stay talking trash but let us not forget i meant to do this one smh
204,3,2,1,0,0,
205,3,0,3,0,1,people always asking me what i am mixed with she a bad asian bitch lol
206,3,2,1,0,0,ariza is a snake and a coward but at least he is not a cripple like your hero roach lmaoo
207,3,0,1,2,2,fosters home for imaginary trash whoa chill that show was everything tf
208,6,0,5,1,1,i am lowkey tired if you tired be quiet and go to sleep hoe
209,3,0,3,0,1,stop bringing weird niggers into my mentions
210,3,0,3,0,1,we do not love these hoes
211,3,0,3,0,1,if yo girl cannot have homeboys you a old weak bitch ass nigga
212,3,0,3,0,1,i think worst advice i gave you was do not be a pussy and speed up lol
213,3,0,3,0,1,quote this tweet with your favorite animal pussy
214,3,0,3,0,1,i hate when strippers tell you they are dancers hoe ballet dancers do not pop their pussy to beethoven you a stripper
215,3,0,3,0,1,andrewbryant poff has double vision after 2 beers poff double pussy smh
216,3,0,3,0,1,when bitches twerk on the computer me in ya in ya damn
217,3,0,3,0,1,prince this is art nobody takin his bitch
218,3,0,1,2,2,61 of welfare government aid is claimed by white people so you all black slander is trash now
219,3,0,3,0,1,these bitches do not care they just play that role
220,6,0,6,0,1,it took a while for you to find me but i was hiding in the lime tree dis bitch in da wrong tree bro
221,6,3,2,1,0,drakes new shoes that will be released by nike jordan yes there is glitter on the shoes dudes a fag
222,3,0,1,2,2,
223,3,0,1,2,2,hoes austin teach us austin i teach you how to get curved that is all i know
224,3,1,2,0,1,bitches cannot cook but know how to suck dick s o to the ones that can do both
225,3,0,3,0,1,fat hoes get chose lol
226,3,0,3,0,1,hoesaintloyal well they are hoes no one expects them to be loyal
227,3,0,3,0,1,old bitch ass
228,3,1,2,0,1,bruh i am tired of niggas retweetin miley cyrus naked that bitch are not no types of bad lmaooo
229,3,0,3,0,1,just because tony romo at the mavs game do not mean he still not a bitch lmao fuk them cowgirls lol bitch fuck you
230,3,0,3,0,1,holy shit freddie highmore was in charlie and the chocolate factory me rolls on the floor laughing
231,3,1,2,0,1,i do not want to have sex with my gf because i feel like i am using her anonymous whata faggot
232,3,0,3,0,1,one of your followers with this somebody bitch if you do not
233,3,0,3,0,1,if ya bitch always bitching clearly she care or just an annoying bitch
234,3,0,3,0,1,these catfish hoes thinkin they slick but niggas catching on
235,3,0,3,0,1,cannot worry about a bitch that are not worried bout me real
236,3,0,3,0,1,side hoes are for insecure niggas that cannot handle a real one
237,3,0,3,0,1,  lmao this bitch come scooting in the tent like she about to fuck some shit up
238,3,0,3,0,1,my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers
239,3,0,3,0,1,i am hungry but ionn want to spend my money on food broke hoe problems
240,6,0,6,0,1,dese hoes be lyin to all of us nigga
241,3,0,3,0,1,oh yeah fuck that bitch
242,3,0,1,2,2,eli manning just threw his nfl leading 27th interception of the season lmao trash
243,3,0,1,2,2,usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team he is a bitch
244,3,0,3,0,1,guess what i also have zero time for your mansplaining adios stfu pussy
245,3,0,1,2,2,chilling sexy scally lad
246,3,0,3,0,1,i are not sharing no bitch if you mines you mines
247,3,0,3,0,1,money only impress the simple broke bitches
248,3,0,2,1,1,pisces will never be anybody s bitch they do not let people control or change them rigghhht
250,3,0,1,2,2,
251,3,0,1,2,2,
252,3,0,3,0,1,these hoes is crazy
253,3,0,3,0,1,you are not ever going to be a slice bitch kevin hart
254,3,0,3,0,1,oomf so fuckin fine though dam her do not be no bitch
255,3,1,2,0,1,i wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter she probly sends nudes for fags
256,3,0,3,0,1,newsatquestions yeah bitch yeah bitch call me _______ a maybe b steve o c later d jesse pinkman
257,3,0,3,0,1,hickies in between her thighs right by her pussy its only right
258,3,0,3,0,1,would you still love me when i am no longer young and beautiful no ugly monkey ass
259,3,1,2,0,1,you all come through the front bitch i are not coming
260,3,1,2,0,1,
261,3,0,3,0,1,yea i am on my ipad i do not work this friday let us ball this faggot up i work 2 5
262,3,0,1,2,2,this scally lad would get it
263,3,2,1,0,0,gerryshalloweenparty halloween was yesterday stupid nigger
264,3,0,2,1,1,chrus still supahot though walks up to teacher with test drops test in that bitch fohead
265,3,0,3,0,1,i love eating pussy lol i never get full lol i can eat that shit forever lol and ever
266,3,0,3,0,1,no slushes hoes nasty anyway fam them hoes taste like meds
267,3,0,2,1,1,no slushes hoes nasty anyway fam
268,3,1,2,0,1,bobby bitch by be getting me live as fuck hell yea i play that hoe before my workout
269,3,0,3,0,1,yo bitch is gucci mane my bitch a stoner
270,3,0,3,0,1,i can ride your bitch with no handle bars
271,3,0,3,0,1,and if you are not a hoe get up out my traphoussseeeee
272,3,0,0,3,2,15 sad tv character deaths we are still bitter over stark was the man
273,3,0,3,0,1,these harbor bitches are all party bus hoes lol all
274,3,0,3,0,1,pussy love it
275,3,0,3,0,1,ultraviolence video its coming you little bitch mtvhottest lana del rey bitchy promo
276,3,0,3,0,1,on my way to fuck your bitch lmfao kittycopter
277,3,0,0,3,2,a smuggler explains how he helped fighters along the jihadi highway
278,3,0,3,0,1,aww their avis look so cute together do i got to get ike avi on this bitch
279,3,0,3,0,1,its simple do not be a hoe do not worry about being exposed fight me why
280,3,0,3,0,1,why is this bitch boosting herself her size is not exactly the most healthy though
281,3,0,3,0,1,bet not be no bitches kim bye
283,3,0,3,0,1,damn near got to protect my tweets stalkers being annoying you got that dope dick drive these bitches loco
284,3,0,3,0,1,i am making marack my girlfriend aye b you pullin hoes just like o taught you
285,3,1,2,0,1,bruno fag boy you love me
286,3,0,3,0,1,i must be a bitch you are sike naw this why we always beefing
287,3,0,0,3,2,down 6 1 yankees look to rally in the bottom of the 9th rallycap
288,3,0,3,0,1,do not take advantage of a nice person hoes everyjuan
289,3,1,2,0,1,
290,3,0,3,0,1,sad knowing that most hoes will not fuck with you because you are not got stacks wait till friday
291,3,0,3,0,1,cinco shit harder fucc nigga yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca
292,3,0,3,0,1,ewww i said that last sunday as in the last sunday i was there read it again nigs
293,4,1,3,0,1,i only punch real niggas in the face because a pussy nigga is going to punch me right back strong mush or shake
294,3,0,3,0,1,my pussy still fresh something stank girls say
295,4,0,4,0,1,ass slapping is one the greatest things haha i slapped a girl on the ass she got mad i are not get pussy for a week
296,3,0,3,0,1,yeah texans are so much better you fucking retard i see that you are mad about this
297,3,1,2,0,1,nd wtf is up with dark bitches with blonde please have several seats hoe looking like black milds out here
298,4,0,4,0,1,there is a lane some bitches need to stay in the left n get right the fuck outta our face
299,3,0,3,0,1,i hate when boys deny that they have bitches smh
300,3,1,2,0,1,ya nigs out there still saying you all do not eat butt with a straight face
301,3,0,3,0,1,i am a boss ass bitch that needs to sit in a corner
302,3,0,3,0,1,he is a hoe i cannot
304,3,0,3,0,1,me and paul thinkin bout gettin rentals for da weekend oooh shit bitches betta stay out da streets
305,6,0,6,0,1,bitches hold they nigga down when he get locked up but if a nigga go to college or the military it is a different story
306,3,1,2,0,1,why do my friends hate me because you a ratchet hoe
307,3,1,2,0,1,no love for these fuck niggas hoes
308,3,0,3,0,1,hot meat sexy as fuck scally lad i would love to meet him and his trainers
309,3,0,3,0,1,sniff perved up scally lad fuck yeah
310,3,0,3,0,1,these bitches love sosa
311,4,0,3,1,1,i legit watched it for about 30 or 40 seconds so did i wtf prob because were retarded smh
312,3,0,3,0,1,what should i name my cat ideas mr pussy
313,3,0,2,1,1,woof woof sexy thug boy scally
314,3,0,3,0,1,you see the damn phone ringing when you married bitches makes demands you have not called me
315,3,0,3,0,1,tevin is my favorite sophomore i think he is so funny hes really not lmaoo hes a little hoe
316,3,0,3,0,1,10 sex positions this what you call fucking the soul outta bitch
317,3,2,1,0,0,is bored supposed to be cute you faggot sometimes
318,3,0,0,3,2,one mans trash is another mans treasure
319,3,0,3,0,1,i do not got no type bad bitches is the only thing i like iongotnotype
320,3,2,1,0,0,lassen cc the coach wants me i feel it you will get more my nig no doubt
321,3,0,3,0,1,god teeth gold chain white bitches cocaine
322,3,1,2,0,1,its me hoe its me hoe shhhhh
323,3,0,3,0,1,in d c we call them rollers in chiraq we call them thots all across america they have been known as a hoe
324,3,0,3,0,1,i am going to miss that bitch of a bus driver no you will not do not lie
325,3,0,3,0,1,hate when bitches try and put you in the friendzone bitch i am tryin to score put me in the endzone on my soul
326,3,0,1,2,2,ashley young has tried to deny that bird s landed in his mouth hahaha
327,3,0,3,0,1,you all both gimped up are not tht a bitch huh lol
328,3,0,1,2,2,
329,3,1,2,0,1,oh my god i love victoria mitchell all my bitches love me
330,3,0,3,0,1,that long distance shit wack i knew the bitch was cheating uh oh
331,3,0,3,0,1,he is doing it right no bitches smh
332,3,0,3,0,1,they ban dat pussy for life he got to pay 2 5 millon dollar fine
333,3,1,2,0,1,roses are red and violets are blue and niggers are black you know that is true
334,3,0,0,3,2,sitting on my window sill window open bird tries to fly in smacked it protecttheanimals
335,3,0,3,0,1,
336,3,0,0,3,2,a video an entire media will likely mock i am such a crybaby
337,3,0,3,0,1,
338,3,0,3,0,1,tim tebow got cut from every team he was on in the nfl and he already got more hoes than me in starkville smh
339,3,0,3,0,1,karma is a bitch damn godprotectshisangels sips tea
340,3,0,3,0,1,fuckin hot gym pussy fuck yeah
341,3,0,0,3,2,
342,3,0,2,1,1,you can call me fireman because i turn the hoes on
343,3,0,3,0,1,i could never have a bby by a lil dick thts y i got a abortion by the last bitch oh my god
344,3,0,3,0,1,watch women try to argue with me like they have a dick and actually fucked some pussy before i hate when bitches do that
345,3,0,3,0,1,and smoke weed in public fuck cops man do what you want to do they do not own you run if they come are you retarded
346,3,0,0,3,2,tweety bird though
347,3,0,3,0,1,
348,3,0,1,2,2,when twitter rappers dm me their trash links
349,3,0,3,0,1,loud bitches annoy me
350,4,0,4,0,1,eventually every bitch turns into that hoe truuu
351,3,0,3,0,1,i swear if oomf try talking to me tomorrow pussy
352,3,0,3,0,1,you bitches be pretending to be tf crazy you are not never lied
353,4,0,3,1,1,
354,3,2,1,0,0,jackies a retard blondeproblems at least i can make a grilled cheese
355,3,1,2,0,1,i am about to keep on giving these pussy ass niggas ah reason to hate
356,3,0,0,3,2,photo he is in sole heaven
357,3,2,1,0,0,
358,3,0,3,0,1,side bitch sunday
359,3,0,3,0,1,facts what baldheaded bitch made this shit lmao
360,3,0,3,0,1,fuck wit us and then we tweakin hoe shmurda
361,3,0,0,3,2,we actin like it is the 7th day spook
362,3,0,3,0,1,i will break that lil bitch neck and will not even feel sorry about it savage
363,3,0,3,0,1,this is so fucking hot scally sneakersex sockfetish sniff trainersex love me some kinky scallies
364,3,1,2,0,1,you all dumb ass niggas be so pressed to have hoes you all weak as fuck as fuck weed over hoes oreos too
365,3,0,3,0,1,i can turn yo bitch into a eaterrrrrrrrr
366,3,0,3,0,1,i do not trust dese hoes nikki told 51st where i stay at all my fans screen shot as soon as possible we fixing to come to chiraq and shoot sumn
367,3,0,3,0,1,aye you all i am about to tryout for the bowling team frfr tryouts passed though no there is two more retard
368,3,0,3,0,1,now you got what you want bitch enjoy it now this is a crazy party i would love to attend
369,3,0,0,3,2,colored contacts in your eyes blinders on mine because i cannot see you at all lmao
370,3,0,3,0,1,facts only the dudes with hoes say they do not got hoes
371,3,0,3,0,1,i am rea start smacking bitches period bluffin at its best
372,3,0,3,0,1,lifes a bitch and then you die that is why we get high because you neva know when you are going to go my sister is perfect
373,3,0,3,0,1,one of us is on drugs and its me but you are still wrong hahahahahahah i am a bitch sometimes
374,3,1,2,0,1,
375,3,0,0,3,2,swears i am 1 man easily easily behind austin nip
376,3,0,3,0,1,this is a true ride or die bitch what the fuck hahahahah
377,4,0,0,4,2,h g wells and charlie chaplin history photography
378,3,0,3,0,1,all i see is bruno s bitch ass on my twitter now wtf bruno s all that she sees drake voice
379,3,0,3,0,1,i am about to cool faggot chill tf is cool nigga
380,3,0,3,0,1,i am so sure bitch frfr tf
381,3,0,3,0,1,twitter is not a source of news broadcast you fucking retards it is when nbc abc cnn fox etc are all keeping quiet
382,3,0,3,0,1,got a couple bitches saying they know me but i ma let the money talk for me and i am like wwyd
383,3,0,3,0,1,grudges are for weirdos and bitches
384,3,1,0,2,2,i told mariam to but cigarettes for her birthday you also called me trash right now
385,3,0,0,3,2,brownies tonight what kind
386,3,0,3,0,1,no text back i do not give a fuck i will text another bitch damn someone is hurt lol
387,6,1,5,0,1,ummmmmm okay you got hoes from left to right do yah thang
388,3,0,3,0,1,using y mx b to find the slope of that ass
389,3,0,0,3,2,fit lads nice gear these scally lads n trainers would get it
390,3,0,3,0,1,hell yeah bro fuck yeah sexy scally lad in hot gear
391,3,0,3,0,1,helping out a mate i love scally play fuck yeah
392,3,0,2,1,1,lads being lads fuck yeah i love scally lad action hot trainers too
393,3,0,3,0,1,next year bitches is going to be like you got to promise you will not expose me
394,3,0,3,0,1,so hot lick it bitch fuck yeah eat that trainer you dirty fucker
395,3,0,3,0,1,you all think celebrity pussy different from the locals yeah meghan goods is
396,6,0,2,4,2,i saw an ajumma walk out in the beginning saying wow this is so trash that i cannot even listen to it lmaoo
397,3,0,3,0,1,need these sox fuck yeah i love a kinky scally lad w rank sox and sneaks
398,3,1,2,0,1,i do not ever expose females like that that is childish bitch nigga shiiii
399,3,0,3,0,1,yasss trys new things with bestfriend bitch who do you love
400,3,1,0,2,2,dude remember this wop video omg where did you find that
401,3,0,2,1,1,thick raw fuck damn his man pussy is getting a workout
402,3,0,0,3,2,rawr my sexy french scally i love him frenchscally sexy scally woof woof
403,3,0,3,0,1,nothin in life is free some of you bitches need to write that on ya panties
404,3,0,3,0,1,if one of you bitches want some of my burrito you can catch me at potosino huh haha
405,3,1,2,0,1,niggas whole hoes out here cuz could not had said it better
406,3,0,3,0,1,hardcore way to eat mac and cheese 1 boil water 2 snort cheese powder 3 drink boiling water 4 fuck bitches
407,3,0,3,0,1,yourenotmytype if my fade is perpetually fresher than yours that is a real ass bitch rite there
